treatment,replicate,environment,sites,site_usage,norm_site_usage
c50,c50__rep_23,nand-not+,h-alloc|inc|set-flow|nop-A|add|shift-r|inc|if-label|jmp-head|inc|add|nop-C|nand|IO-Sense|sub|inc|mov-head|nop-C|nop-B|if-label|nand|inc|shift-r|inc|sub|get-head|if-n-equ|sub|nop-A|swap|inc|if-n-equ|nop-B|pop|if-n-equ|nop-C|add|if-n-equ|swap-stk|push|h-copy|nop-C|inc|dec|swap|sub|inc|pop|swap|push|sub|nop-A|inc|IO-Sense|if-label|shift-l|if-label|shift-l|push|shift-l|if-less|IO|nand|swap-stk|nop-C|h-search|get-head|add|swap-stk|nand|inc|if-n-equ|h-alloc|pop|h-copy|set-flow|inc|pop|h-copy|pop|if-less|h-alloc|h-copy|IO|h-divide|h-alloc|h-copy|dec|pop|push|push|dec|add|set-flow|nand|shift-l|nop-C|h-search|jmp-head|swap-stk|h-search|nop-C|shift-l|swap|swap-stk|set-flow|IO-Sense|pop|inc|if-label|inc|IO-Sense|h-search|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|24|24|24|24|0|1|23|23|23|0,0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.0|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.00373134328358|0.089552238806|0.089552238806|0.089552238806|0.089552238806|0.0|0.00373134328358|0.0858208955224|0.0858208955224|0.0858208955224|0.0
c50,c50__rep_50,nand-not+,h-alloc|nop-A|set-flow|nop-A|mov-head|nop-C|get-head|nop-B|shift-r|sub|nand|IO|pop|h-alloc|if-n-equ|nop-A|sub|IO-Sense|pop|inc|if-label|pop|dec|shift-l|nop-A|add|sub|add|nop-A|pop|get-head|inc|IO-Sense|h-divide|nop-B|h-alloc|get-head|if-less|IO|shift-r|nop-B|shift-l|shift-r|get-head|push|sub|add|h-alloc|h-alloc|nop-B|pop|shift-l|swap-stk|swap|shift-l|shift-r|nop-A|shift-l|swap-stk|if-less|h-alloc|inc|add|h-divide|get-head|IO-Sense|push|sub|inc|nop-C|nop-A|IO|swap-stk|swap-stk|swap-stk|shift-r|IO-Sense|swap-stk|swap-stk|pop|inc|push|h-alloc|h-search|swap-stk|nop-B|h-search|get-head|add|h-search|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|h-divide|h-alloc|nop-A|set-flow|nop-A|h-alloc|nop-A|set-flow|nop-A,1|1|1|0|1|0|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|22|22|22|22|0|1|21|21|21|0|0|0|0|0|0|0|0|0,0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.0|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0944206008584|0.0944206008584|0.0944206008584|0.0944206008584|0.0|0.00429184549356|0.0901287553648|0.0901287553648|0.0901287553648|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
c50,c50__rep_50,nand+not-,h-alloc|nop-A|set-flow|nop-A|mov-head|nop-C|get-head|nop-B|shift-r|sub|nand|IO|pop|h-alloc|if-n-equ|nop-A|sub|IO-Sense|pop|inc|if-label|pop|dec|shift-l|nop-A|add|sub|add|nop-A|pop|get-head|inc|IO-Sense|h-divide|nop-B|h-alloc|get-head|if-less|IO|shift-r|nop-B|shift-l|shift-r|get-head|push|sub|add|h-alloc|h-alloc|nop-B|pop|shift-l|swap-stk|swap|shift-l|shift-r|nop-A|shift-l|swap-stk|if-less|h-alloc|inc|add|h-divide|get-head|IO-Sense|push|sub|inc|nop-C|nop-A|IO|swap-stk|swap-stk|swap-stk|shift-r|IO-Sense|swap-stk|swap-stk|pop|inc|push|h-alloc|h-search|swap-stk|nop-B|h-search|get-head|add|h-search|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|h-divide|h-alloc|nop-A|set-flow|nop-A|h-alloc|nop-A|set-flow|nop-A,1|1|1|0|1|0|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|22|22|22|22|0|1|21|21|21|0|0|0|0|0|0|0|0|0,0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.0|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.00429184549356|0.0944206008584|0.0944206008584|0.0944206008584|0.0944206008584|0.0|0.00429184549356|0.0901287553648|0.0901287553648|0.0901287553648|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
c50,c50__rep_27,nand-not+,jmp-head|nand|sub|swap|h-alloc|set-flow|nop-A|mov-head|nop-C|if-n-equ|nand|nop-A|shift-r|inc|swap-stk|inc|nop-B|h-divide|swap-stk|swap-stk|shift-r|shift-l|nand|swap|push|if-less|dec|get-head|if-less|get-head|h-divide|nand|nop-C|sub|sub|nop-A|nand|swap|IO|nop-C|swap-stk|IO|nand|nop-B|IO-Sense|sub|pop|sub|IO|shift-l|nop-A|push|h-alloc|if-label|inc|shift-l|nop-C|inc|pop|IO-Sense|inc|shift-r|nop-B|if-label|inc|add|h-search|IO-Sense|add|h-divide|set-flow|nand|if-label|swap|IO|sub|add|shift-r|nand|push|if-n-equ|nand|nop-B|set-flow|h-alloc|shift-l|dec|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|nop-A|h-divide|h-copy|mov-head|nop-A|nop-B,1|1|1|1|1|1|0|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|17|17|17|17|17|17|0|0|1|16|16|0|0,0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0809523809524|0.0809523809524|0.0809523809524|0.0809523809524|0.0809523809524|0.0809523809524|0.0|0.0|0.0047619047619|0.0761904761905|0.0761904761905|0.0|0.0
c50,c50__rep_27,nand+not-,jmp-head|nand|sub|swap|h-alloc|set-flow|nop-A|mov-head|nop-C|if-n-equ|nand|nop-A|shift-r|inc|swap-stk|inc|nop-B|h-divide|swap-stk|swap-stk|shift-r|shift-l|nand|swap|push|if-less|dec|get-head|if-less|get-head|h-divide|nand|nop-C|sub|sub|nop-A|nand|swap|IO|nop-C|swap-stk|IO|nand|nop-B|IO-Sense|sub|pop|sub|IO|shift-l|nop-A|push|h-alloc|if-label|inc|shift-l|nop-C|inc|pop|IO-Sense|inc|shift-r|nop-B|if-label|inc|add|h-search|IO-Sense|add|h-divide|set-flow|nand|if-label|swap|IO|sub|add|shift-r|nand|push|if-n-equ|nand|nop-B|set-flow|h-alloc|shift-l|dec|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|nop-A|h-divide|h-copy|mov-head|nop-A|nop-B,1|1|1|1|1|1|0|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|17|17|17|17|17|17|0|0|1|16|16|0|0,0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0047619047619|0.0809523809524|0.0809523809524|0.0809523809524|0.0809523809524|0.0809523809524|0.0809523809524|0.0|0.0|0.0047619047619|0.0761904761905|0.0761904761905|0.0|0.0
c50,c50__rep_15,nand-not+,set-flow|if-label|h-alloc|set-flow|nop-A|nop-B|mov-head|nop-C|h-search|nand|nop-C|h-alloc|shift-l|nop-C|swap-stk|IO-Sense|push|h-alloc|shift-r|pop|push|nand|get-head|nop-C|if-less|swap-stk|h-alloc|nand|nop-B|IO-Sense|h-alloc|shift-r|inc|nop-C|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|mov-head|nop-A,1|1|1|1|0|1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|0|1|6|6|6|6|6|6|6|6|6|0|1|5|0,0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0|0.0113636363636|0.0568181818182|0.0
c50,c50__rep_15,nand+not-,set-flow|if-label|h-alloc|set-flow|nop-A|nop-B|mov-head|nop-C|h-search|nand|nop-C|h-alloc|shift-l|nop-C|swap-stk|IO-Sense|push|h-alloc|shift-r|pop|push|nand|get-head|nop-C|if-less|swap-stk|h-alloc|nand|nop-B|IO-Sense|h-alloc|shift-r|inc|nop-C|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|mov-head|nop-A,1|1|1|1|0|1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|0|1|6|6|6|6|6|6|6|6|6|0|1|5|0,0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0113636363636|0.0113636363636|0.0113636363636|0.0|0.0113636363636|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0681818181818|0.0|0.0113636363636|0.0568181818182|0.0
c50,c50__rep_49,nand-not+,h-divide|add|h-alloc|set-flow|nop-A|mov-head|nop-C|nop-B|swap-stk|pop|nand|h-search|IO|shift-l|pop|nand|nop-B|IO|nop-A|inc|if-less|inc|IO-Sense|push|add|h-search|add|add|shift-r|if-label|shift-r|h-divide|h-divide|add|h-alloc|add|swap-stk|h-search|nand|if-label|IO|h-search|h-alloc|push|swap|add|dec|shift-r|add|set-flow|swap-stk|IO|IO|nop-A|pop|shift-l|IO|push|h-alloc|push|nop-A|add|inc|nop-B|h-search|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|0|1|13|13|13|13|13|0|1|12|12|12|0,0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0817610062893|0.0817610062893|0.0817610062893|0.0817610062893|0.0817610062893|0.0|0.0062893081761|0.0754716981132|0.0754716981132|0.0754716981132|0.0
c50,c50__rep_49,nand+not-,h-divide|add|h-alloc|set-flow|nop-A|mov-head|nop-C|nop-B|swap-stk|pop|nand|h-search|IO|shift-l|pop|nand|nop-B|IO|nop-A|inc|if-less|inc|IO-Sense|push|add|h-search|add|add|shift-r|if-label|shift-r|h-divide|h-divide|add|h-alloc|add|swap-stk|h-search|nand|if-label|IO|h-search|h-alloc|push|swap|add|dec|shift-r|add|set-flow|swap-stk|IO|IO|nop-A|pop|shift-l|IO|push|h-alloc|push|nop-A|add|inc|nop-B|h-search|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|0|1|13|13|13|13|13|0|1|12|12|12|0,0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0062893081761|0.0|0.0062893081761|0.0817610062893|0.0817610062893|0.0817610062893|0.0817610062893|0.0817610062893|0.0|0.0062893081761|0.0754716981132|0.0754716981132|0.0754716981132|0.0
c50,c50__rep_43,nand-not+,nop-A|IO-Sense|jmp-head|IO|h-alloc|jmp-head|shift-l|set-flow|nop-A|if-label|mov-head|nop-C|set-flow|nop-C|swap-stk|nand|push|h-alloc|h-search|pop|push|sub|nop-C|set-flow|inc|shift-l|IO|IO|nop-C|nand|IO-Sense|add|nop-B|pop|nand|IO|push|inc|dec|IO|if-label|push|add|swap-stk|pop|h-search|pop|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|1|1|1|1|1|1|0|1|1|0|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|10|10|10|10|10|10|0|1|9|9|9|0,0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.078125|0.078125|0.078125|0.078125|0.078125|0.078125|0.0|0.0078125|0.0703125|0.0703125|0.0703125|0.0
c50,c50__rep_43,nand+not-,nop-A|IO-Sense|jmp-head|IO|h-alloc|jmp-head|shift-l|set-flow|nop-A|if-label|mov-head|nop-C|set-flow|nop-C|swap-stk|nand|push|h-alloc|h-search|pop|push|sub|nop-C|set-flow|inc|shift-l|IO|IO|nop-C|nand|IO-Sense|add|nop-B|pop|nand|IO|push|inc|dec|IO|if-label|push|add|swap-stk|pop|h-search|pop|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|1|1|1|1|1|1|0|1|1|0|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|10|10|10|10|10|10|0|1|9|9|9|0,0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.0078125|0.078125|0.078125|0.078125|0.078125|0.078125|0.078125|0.0|0.0078125|0.0703125|0.0703125|0.0703125|0.0
c50,c50__rep_34,nand-not+,nop-A|nand|push|h-alloc|set-flow|nop-A|nop-A|mov-head|nop-C|swap-stk|swap|sub|pop|h-search|IO|get-head|h-search|nop-B|add|if-label|swap|nand|nand|if-label|set-flow|nop-B|h-search|shift-l|h-divide|h-alloc|swap-stk|h-divide|nop-C|swap|dec|add|add|pop|if-n-equ|h-divide|dec|nand|add|h-search|IO-Sense|swap|shift-r|shift-l|get-head|pop|set-flow|shift-r|nop-C|shift-r|nop-B|set-flow|IO-Sense|h-divide|push|h-divide|h-search|swap|nop-B|shift-r|sub|h-search|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|mov-head|nop-A,1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|0|1|1|1|19|19|19|19|0|1|18|18|0,0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.0|0.00581395348837|0.00581395348837|0.0|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.0|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.0|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.0|0.00581395348837|0.0|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.00581395348837|0.0|0.00581395348837|0.00581395348837|0.00581395348837|0.110465116279|0.110465116279|0.110465116279|0.110465116279|0.0|0.00581395348837|0.104651162791|0.104651162791|0.0
