treatment,replicate,update,environment,population_size,genotype_diversity,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
baseline-unrestricted,15,28000,nand+not-,3378,7.896938,807,1136,0,0,4,292,0,0,0,0,1097,37,0,1,0,4
baseline-unrestricted,15,29000,nand+not-,3417,7.906542,728,1146,0,0,3,21,0,0,0,0,1507,10,0,0,0,2
baseline-unrestricted,15,3000,nand+not-,3599,7.848246,3598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,15,30000,nand+not-,3364,7.886683,760,638,0,0,6,576,0,0,0,0,1305,9,0,57,0,13
baseline-unrestricted,15,31000,nand+not-,3411,7.906380,754,537,0,0,3,858,0,0,0,0,1221,25,0,0,0,13
baseline-unrestricted,15,32000,nand+not-,3425,7.892990,706,522,0,0,0,1108,0,0,0,0,1036,27,0,0,0,26
baseline-unrestricted,15,33000,nand+not-,3437,7.909437,766,852,0,0,7,489,0,0,0,0,1187,131,0,0,0,5
baseline-unrestricted,15,34000,nand+not-,3463,7.873228,781,1291,0,0,6,310,0,0,0,0,949,122,0,0,0,4
baseline-unrestricted,15,35000,nand+not-,3471,7.873323,907,1647,0,0,11,88,0,0,0,0,813,1,0,0,0,4
baseline-unrestricted,15,36000,nand+not-,3368,7.840784,856,991,0,0,4,595,0,0,0,0,911,1,0,0,0,10
baseline-unrestricted,15,37000,nand+not-,3517,7.883116,871,1030,0,0,6,695,0,0,0,0,828,78,0,0,0,9
baseline-unrestricted,15,38000,nand+not-,3479,7.858062,828,1390,0,0,6,654,0,0,0,0,152,436,0,0,0,13
baseline-unrestricted,15,39000,nand+not-,3483,7.906208,871,1699,0,0,4,49,0,0,0,0,825,3,0,0,0,32
baseline-unrestricted,15,4000,nand+not-,3598,7.825455,3557,0,0,0,0,38,0,0,0,0,3,0,0,0,0,0
baseline-unrestricted,15,40000,nand+not-,3462,7.845269,819,1419,0,0,3,69,0,0,0,0,1010,0,0,0,0,142
baseline-unrestricted,15,41000,nand+not-,3421,7.838501,792,520,0,0,1,1080,0,0,0,0,1007,1,0,0,0,20
baseline-unrestricted,15,42000,nand+not-,3448,7.835226,839,636,0,0,6,819,0,0,0,0,1130,0,0,0,0,18
baseline-unrestricted,15,43000,nand+not-,3474,7.730061,823,612,0,0,5,1154,0,0,0,0,869,0,0,0,0,11
baseline-unrestricted,15,44000,nand+not-,3518,7.806440,776,634,0,0,2,1209,0,0,0,0,889,0,0,0,0,8
baseline-unrestricted,15,45000,nand+not-,3484,7.735541,831,868,0,0,7,598,0,0,0,0,1175,0,0,0,0,5
baseline-unrestricted,15,46000,nand+not-,3433,7.704067,841,1142,0,0,6,92,0,0,0,0,1348,1,0,0,0,3
baseline-unrestricted,15,47000,nand+not-,3424,7.795456,768,1463,0,0,3,95,0,0,0,0,1092,2,0,0,0,1
baseline-unrestricted,15,48000,nand+not-,3401,7.813138,779,1409,0,0,10,324,0,0,0,0,868,2,0,0,0,9
baseline-unrestricted,15,49000,nand+not-,3460,7.832250,792,1481,0,0,5,34,0,0,0,0,1133,13,0,0,0,2
baseline-unrestricted,15,5000,nand+not-,3598,7.839616,3531,0,0,0,0,45,0,0,0,0,19,0,0,0,0,3
baseline-unrestricted,15,50000,nand+not-,3483,7.891979,894,1458,0,0,4,36,0,0,1,0,959,114,0,0,0,17
baseline-unrestricted,15,51000,nand+not-,3403,7.852390,754,1031,0,0,1,180,0,0,0,0,1435,0,0,0,0,2
baseline-unrestricted,15,52000,nand+not-,3445,7.862617,853,1092,0,0,2,682,0,0,0,0,799,2,0,0,0,15
baseline-unrestricted,15,53000,nand+not-,3452,7.848857,858,1624,0,0,4,70,0,0,0,0,877,0,0,0,1,18
baseline-unrestricted,15,54000,nand+not-,3420,7.823368,767,1162,1,0,1,219,0,0,0,0,1255,1,0,0,0,14
baseline-unrestricted,15,55000,nand+not-,3445,7.815317,811,814,0,0,2,1004,0,0,0,0,809,1,0,0,0,4
baseline-unrestricted,15,56000,nand+not-,3429,7.837238,781,1474,0,0,2,56,0,0,0,0,817,293,0,0,0,6
baseline-unrestricted,15,57000,nand+not-,3448,7.863142,795,1538,0,0,5,91,0,0,0,0,1004,9,0,0,0,6
baseline-unrestricted,15,58000,nand+not-,3379,7.844682,739,1083,0,0,2,377,0,0,0,0,957,216,0,0,0,5
baseline-unrestricted,15,59000,nand+not-,3491,7.871998,809,1260,0,0,6,529,0,0,0,0,796,85,0,0,0,6
baseline-unrestricted,15,6000,nand+not-,3596,7.844231,3452,0,0,0,0,100,0,0,0,0,42,0,0,0,0,2
baseline-unrestricted,15,60000,nand+not-,3505,7.858727,758,690,0,0,4,1039,0,0,0,0,763,241,0,0,0,10
baseline-unrestricted,15,61000,nand+not-,3445,7.885744,829,1603,0,0,10,16,0,0,0,0,565,415,0,0,0,7
baseline-unrestricted,15,62000,nand+not-,3441,7.883805,716,719,0,0,5,1013,0,0,0,0,869,94,0,0,0,25
baseline-unrestricted,15,63000,nand+not-,3504,7.861801,802,979,0,0,3,901,0,0,0,0,818,0,0,0,0,1
baseline-unrestricted,15,64000,nand+not-,3456,7.894648,766,952,0,0,0,434,0,0,0,0,1289,3,0,0,2,10
baseline-unrestricted,15,65000,nand+not-,3436,7.846192,742,1517,0,0,6,300,0,0,0,0,663,201,0,0,1,6
baseline-unrestricted,15,66000,nand+not-,3439,7.862737,693,1037,0,0,1,463,0,0,0,0,1234,2,0,0,0,9
baseline-unrestricted,15,67000,nand+not-,3407,7.848185,702,1068,0,0,1,476,0,0,0,0,1140,4,0,0,0,16
baseline-unrestricted,15,68000,nand+not-,3429,7.893597,750,1031,0,0,1,767,0,0,0,0,847,6,0,0,0,27
baseline-unrestricted,15,69000,nand+not-,3425,7.876642,753,960,0,0,1,368,0,0,0,0,854,486,0,0,0,3
baseline-unrestricted,15,7000,nand+not-,3599,7.828248,3198,0,0,0,0,298,0,0,0,0,103,0,0,0,0,0
baseline-unrestricted,15,70000,nand+not-,3394,7.876412,839,1194,0,0,3,332,0,0,0,0,950,62,0,0,0,14
baseline-unrestricted,15,71000,nand+not-,3383,7.864815,693,1242,0,0,4,39,0,0,0,0,1284,114,0,0,0,7
baseline-unrestricted,15,72000,nand+not-,3409,7.884636,725,937,0,0,9,278,0,0,0,0,1439,9,0,0,0,12
baseline-unrestricted,15,73000,nand+not-,3421,7.861448,735,1129,0,0,1,18,0,0,0,0,1532,0,0,0,0,6
baseline-unrestricted,15,74000,nand+not-,3378,7.869067,767,1189,0,0,1,25,0,0,0,0,1366,29,0,0,0,1
baseline-unrestricted,15,75000,nand+not-,3361,7.874515,783,1221,0,0,0,82,0,0,0,0,1192,78,0,0,0,5
baseline-unrestricted,15,76000,nand+not-,3441,7.885634,810,1283,0,0,4,196,0,0,0,0,1120,12,0,0,1,15
baseline-unrestricted,15,77000,nand+not-,3390,7.898051,718,1188,0,0,10,214,0,0,0,0,1089,163,0,0,0,8
baseline-unrestricted,15,78000,nand+not-,3433,7.869661,760,1339,0,0,2,460,0,0,0,0,846,4,0,0,0,22
baseline-unrestricted,15,79000,nand+not-,3452,7.867524,827,1532,0,0,5,201,0,0,0,0,883,1,0,0,0,3
baseline-unrestricted,15,8000,nand+not-,3597,7.800550,3385,0,0,0,0,205,0,0,0,0,7,0,0,0,0,0
baseline-unrestricted,15,80000,nand+not-,3381,7.838110,776,1066,0,0,2,325,0,0,0,0,1039,163,0,0,0,10
baseline-unrestricted,15,81000,nand+not-,3371,7.836023,754,1486,0,0,2,94,0,0,0,0,788,242,0,0,0,5
baseline-unrestricted,15,82000,nand+not-,3465,7.932060,759,1503,0,0,3,178,0,0,0,0,984,22,0,0,0,16
baseline-unrestricted,15,83000,nand+not-,3422,7.858420,708,1226,0,0,4,580,0,0,0,0,523,359,0,0,0,22
baseline-unrestricted,15,84000,nand+not-,3460,7.909736,710,1137,0,0,3,553,0,0,0,0,1045,4,0,0,0,8
baseline-unrestricted,15,85000,nand+not-,3425,7.871807,770,1144,0,0,3,152,0,0,0,0,1343,3,0,0,0,10
baseline-unrestricted,15,86000,nand+not-,3409,7.906936,727,1365,0,0,0,50,0,0,0,0,1253,1,0,0,0,13
baseline-unrestricted,15,87000,nand+not-,3359,7.869934,725,677,0,0,1,762,0,0,0,0,1172,0,0,0,0,22
baseline-unrestricted,15,88000,nand+not-,3388,7.874382,699,1042,0,0,2,941,0,0,0,0,686,2,0,0,0,16
baseline-unrestricted,15,89000,nand+not-,3369,7.866438,692,1048,0,0,1,159,0,0,0,0,1412,1,0,0,0,56
baseline-unrestricted,15,9000,nand+not-,3597,7.813781,3343,0,0,0,0,252,0,0,0,0,2,0,0,0,0,0
baseline-unrestricted,15,90000,nand+not-,3407,7.893768,763,1300,0,0,3,431,0,0,1,0,898,2,0,0,0,9
baseline-unrestricted,15,91000,nand+not-,3394,7.913384,756,1154,0,0,5,482,0,0,0,0,987,1,0,0,0,9
baseline-unrestricted,15,92000,nand+not-,3442,7.909920,772,1644,0,0,3,36,0,0,0,0,910,2,0,0,0,75
baseline-unrestricted,15,93000,nand+not-,3469,7.907962,760,1584,0,0,5,294,0,0,0,0,812,5,0,0,0,9
baseline-unrestricted,15,94000,nand+not-,3401,7.913235,832,1570,0,0,2,132,0,0,0,0,702,160,0,0,0,3
baseline-unrestricted,15,95000,nand+not-,3338,7.924390,664,842,0,0,5,858,0,0,0,0,638,253,0,0,0,78
baseline-unrestricted,15,96000,nand+not-,3382,7.863527,757,1317,0,0,1,271,0,0,0,0,410,607,0,0,0,19
baseline-unrestricted,15,97000,nand+not-,3419,7.915053,693,1267,0,0,2,465,0,0,0,0,711,263,0,0,0,18
baseline-unrestricted,15,98000,nand+not-,3410,7.859629,708,1484,0,0,4,249,0,0,0,0,957,2,0,0,0,6
baseline-unrestricted,15,99000,nand+not-,3455,7.877227,756,1616,0,0,3,359,0,0,1,0,405,305,0,0,2,8
baseline-unrestricted,27,0,nand+not-,1,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,27,1000,nand+not-,3598,7.860961,3554,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,27,10000,nand+not-,3599,7.822601,3367,0,0,0,0,231,0,0,0,0,1,0,0,0,0,0
baseline-unrestricted,27,100000,nand+not-,3389,7.971170,878,985,0,0,3,632,0,0,0,0,868,0,0,0,0,23
baseline-unrestricted,27,11000,nand+not-,3598,7.831582,3465,0,0,0,0,129,0,0,0,0,3,0,0,0,0,1
baseline-unrestricted,27,12000,nand+not-,3599,7.844094,3526,0,0,0,0,68,0,0,0,0,5,0,0,0,0,0
baseline-unrestricted,27,13000,nand+not-,3597,7.849569,3534,0,0,0,0,62,0,0,0,0,1,0,0,0,0,0
baseline-unrestricted,27,14000,nand+not-,3600,7.817927,3554,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0
baseline-unrestricted,27,15000,nand+not-,3599,7.821109,3521,0,0,0,0,70,0,0,0,0,8,0,0,0,0,0
baseline-unrestricted,27,16000,nand+not-,3599,7.854137,3557,0,0,0,0,29,0,0,0,0,13,0,0,0,0,0
baseline-unrestricted,27,17000,nand+not-,3600,7.826009,3509,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,27,18000,nand+not-,3600,7.847551,3587,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0
baseline-unrestricted,27,19000,nand+not-,3600,7.823519,3544,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,27,2000,nand+not-,3599,7.837716,3573,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,27,20000,nand+not-,3599,7.805718,3504,0,0,0,0,94,0,0,0,0,1,0,0,0,0,0
baseline-unrestricted,27,21000,nand+not-,3598,7.834071,3499,0,0,0,0,89,0,0,0,0,10,0,0,0,0,0
baseline-unrestricted,27,22000,nand+not-,3600,7.834585,3408,0,0,0,0,139,0,0,0,0,53,0,0,0,0,0
baseline-unrestricted,27,23000,nand+not-,3599,7.815630,3458,0,0,0,0,105,0,0,0,0,33,0,0,0,0,3
baseline-unrestricted,27,24000,nand+not-,3593,7.828926,3183,0,0,0,0,279,0,0,0,0,129,0,0,0,0,2
baseline-unrestricted,27,25000,nand+not-,3600,7.806195,3345,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
